Name	Score	padj	coverage	n_topfrac
ACTC1	0.00449644196867578	0.00449644196867578	4	2
MMD	0.00452512451229443	0.00452512451229443	5	2
MVD	0.0045538964514667	0.0045538964514667	5	2
SLC46A3	0.00461170844845218	0.00461170844845218	5	2
GDF15	0.0046162365287945	0.0046162365287945	5	1
RN7SL1	0.0046162365287945	0.0046162365287945	3	2
OAS3	0.0046162365287945	0.0046162365287945	5	1
LINC00152	0.00466987782360823	0.00466987782360823	4	2
ISLR	0.00469909648549972	0.00469909648549972	5	2
RPS28	0.00472840444093642	0.00472840444093642	5	2
TSKU	0.00475780167292254	0.00475780167292254	5	2
ATP1B1	0.00478728816446385	0.00478728816446385	5	2
ZNF408	0.00502639140200142	0.00502639140200142	5	2
FZD8	0.00508705861782503	0.00508705861782503	5	2
CTSL	0.0052402851330196	0.0052402851330196	5	2
WNT2	0.00533328903228411	0.00533328903228411	4	2
MT2P1	0.00538527768804059	0.00538527768804059	2	1
ADH1B	0.00538527768804059	0.00538527768804059	4	2
OAS2	0.00538527768804059	0.00538527768804059	5	2
RPS3	0.00539573634491032	0.00539573634491032	5	2
RPL10	0.00549007404429403	0.00549007404429403	5	2
NDUFA12	0.00549007404429403	0.00549007404429403	5	2
CYP26B1	0.00549007404429403	0.00549007404429403	5	2
RPL11	0.00555341013300819	0.00555341013300819	5	2
UCN2	0.00555341013300819	0.00555341013300819	5	2
LEPREL1	0.00561710149478555	0.00561710149478555	4	2
TNFAIP3	0.00564908036069602	0.00564908036069602	5	2
SLC6A9	0.00568114799402319	0.00568114799402319	5	2
IL12RB2	0.00568114799402319	0.00568114799402319	3	2
NHP2L1	0.00574554949514374	0.00574554949514374	4	2
EIF4EBP1	0.00584281707884226	0.00584281707884226	5	2
EIF5AL1	0.00584281707884226	0.00584281707884226	5	2
KIAA1671	0.00587541696085154	0.00587541696085154	5	2
DIO3	0.00590810549168636	0.00590810549168636	5	2
RPL8	0.00590810549168636	0.00590810549168636	5	2
ENPP1	0.00590810549168636	0.00590810549168636	5	2
KCNJ15	0.00597374843209332	0.00597374843209332	5	2
RPL13AP5	0.00607287728556653	0.00607287728556653	5	2
CTH	0.00615422412903585	0.00615422412903585	5	1
KCNG1	0.00615422412903585	0.00615422412903585	5	2
CLU	0.00615422412903585	0.00615422412903585	5	1
ST6GAL1	0.00615422412903585	0.00615422412903585	5	2
A2M	0.00615422412903585	0.00615422412903585	5	1
NT5DC2	0.00617280306419226	0.00617280306419226	5	2
FAS	0.00617280306419226	0.00617280306419226	5	2
ARHGAP10	0.00617280306419226	0.00617280306419226	5	2
SLFN11	0.00623986276047901	0.00623986276047901	5	2
LEPROT	0.00623986276047901	0.00623986276047901	5	2
LY6E	0.00644316441105069	0.00644316441105069	5	2
OSBPL5	0.00647735738213067	0.00647735738213067	5	2
RPS19BP1	0.00651163869744591	0.00651163869744591	5	2
C5AR1	0.00651163869744591	0.00651163869744591	5	2
RSPO1	0.00664964706295239	0.00664964706295239	5	2
NTN4	0.00678906758398548	0.00678906758398548	5	2
PDLIM1	0.00685930706488448	0.00685930706488448	5	2
MATN3	0.00685930706488448	0.00685930706488448	5	2
MYO1D	0.00689455905130542	0.00689455905130542	5	2
TWIST2	0.00692307586052994	0.00692307586052994	4	1
SYNPO2	0.00692307586052994	0.00692307586052994	5	1
IFIT3	0.00692307586052994	0.00692307586052994	5	1
ENC1	0.00692989917918804	0.00692989917918804	5	2
TRPC6	0.00700084379179016	0.00700084379179016	5	2
C1QTNF1	0.00700084379179016	0.00700084379179016	5	2
SPRY4	0.00703644824273953	0.00703644824273953	5	2
LONP1	0.00714378997159349	0.00714378997159349	5	2
MT1X	0.00717974661694844	0.00717974661694844	5	2
CFD	0.00721579126871003	0.00721579126871003	5	2
FMNL2	0.00725192391000352	0.00725192391000352	5	2
ROR1	0.00728814452395577	0.00728814452395577	5	2
RPS2P5	0.00736084960235206	0.00736084960235206	4	2
SMOX	0.00758107442703872	0.00758107442703872	5	2
RBMXP2	0.00769183289127203	0.00769183289127203	2	1
CBLN2	0.00769183289127203	0.00769183289127203	4	1
ABCA6	0.00769183289127203	0.00769183289127203	5	1
HERC6	0.00769183289127203	0.00769183289127203	5	1
RGS9	0.00776701034290296	0.00776701034290296	5	2
TRMT61A	0.00780446080328977	0.00780446080328977	5	2
RPLP0	0.00784199898342921	0.00784199898342921	5	2
