gene	direction	loo_fraction	rra_score	padj	coverage	n_topfrac
PIKFYVE	down	0.8	0.024580545978794	0.024580545978794	5	1
SOCS2	down	0.8	0.024580545978794	0.024580545978794	5	1
KRTAP1-1	down	0.8	0.0253471273057648	0.0253471273057648	4	1
PKD1P1	down	0.8	0.0253471273057648	0.0253471273057648	4	1
SLC24A3	down	0.8	0.0253471273057648	0.0253471273057648	5	1
ATP2B4	down	0.8	0.0253806992103016	0.0253806992103016	5	2
MEGF6	down	0.8	0.0261136141418016	0.0261136141418016	5	2
TMEM106B	down	0.8	0.0261136141418016	0.0261136141418016	5	2
MTSS1L	down	0.8	0.0261137686952819	0.0261137686952819	5	2
EFNB2	down	0.8	0.0268800064956398	0.0268800064956398	5	1
IKZF5	down	0.8	0.0268800064956398	0.0268800064956398	5	1
PTTG1	down	0.8	0.0268800064956398	0.0268800064956398	4	1
CEP135	down	0.8	0.0276463043760148	0.0276463043760148	5	2
SLC4A4	down	0.8	0.0276463043760148	0.0276463043760148	5	2
TMEM119	down	0.8	0.0276463043760148	0.0276463043760148	5	1
ENAH	down	0.8	0.0276785618420861	0.0276785618420861	5	2
RP11-173B14.5	down	0.8	0.0284125077916611	0.0284125077916611	4	1
MIR146A	down	0.8	0.0291786167513127	0.0291786167513127	4	1
SAMD5	down	0.8	0.0293573871657712	0.0293573871657712	5	2
FLG	down	0.8	0.0294994028357447	0.0294994028357447	4	2
KIAA1430	down	0.8	0.0298558616639836	0.0298558616639836	4	2
ADRA2A	down	0.8	0.0299446312637032	0.0299446312637032	5	1
HSPG2	down	0.8	0.0299446312637032	0.0299446312637032	4	1
OSBPL8	down	0.8	0.0299446312637032	0.0299446312637032	5	1
PTCHD4	down	0.8	0.0299446312637032	0.0299446312637032	5	1
SYTL2	down	0.8	0.0307105513375655	0.0307105513375655	5	1
TP53I11	down	0.8	0.0307196269287041	0.0307196269287041	5	2
FTO	down	0.8	0.0314763769816322	0.0314763769816322	5	1
CACHD1	down	0.8	0.0321110585160884	0.0321110585160884	5	2
LINC01085	down	0.8	0.0321850982910589	0.0321850982910589	4	2
CALB2	down	0.8	0.0322421082046351	0.0322421082046351	4	1
TSPAN9	down	0.8	0.0322421082046351	0.0322421082046351	5	1
DNASE1L1	down	0.8	0.0330077450153057	0.0330077450153057	4	1
RBPJ	down	0.8	0.0330077450153057	0.0330077450153057	5	1
LPHN2	down	0.8	0.0345387354345723	0.0345387354345723	4	1
CDC42EP2	down	0.8	0.0353040890606285	0.0353040890606285	4	1
DOK5	down	0.8	0.0353040890606285	0.0353040890606285	5	1
SEMA3F	down	0.8	0.0353040890606285	0.0353040890606285	5	1
BDNF-AS	down	0.8	0.0360693483092723	0.0360693483092723	4	1
COL6A2	down	0.8	0.0360693483092723	0.0360693483092723	5	1
ZKSCAN8	down	0.8	0.0360693483092723	0.0360693483092723	5	1
HIPK3	down	0.8	0.0366954487705857	0.0366954487705857	5	2
LINC00856	down	0.8	0.0368345131892326	0.0368345131892326	4	1
NBL1	down	0.8	0.0368345131892326	0.0368345131892326	5	1
FOXF2	down	0.8	0.0368532156039667	0.0368532156039667	5	2
SUN1	down	0.8	0.0370904624921134	0.0370904624921134	5	2
EGR1	down	0.8	0.0375995837092374	0.0375995837092374	5	1
NAPEPLD	down	0.8	0.0375995837092374	0.0375995837092374	5	1
ZSCAN31	down	0.8	0.0375995837092374	0.0375995837092374	5	1
IKZF2	down	0.8	0.0383645598780144	0.0383645598780144	5	1
LTBP2	down	0.8	0.0383645598780144	0.0383645598780144	5	1
ATM	down	0.8	0.0391294417042905	0.0391294417042905	5	1
NOV	down	0.8	0.0391294417042905	0.0391294417042905	5	1
FAM64A	down	0.8	0.0398942291967924	0.0398942291967924	5	1
WDFY3-AS2	down	0.8	0.0398942291967924	0.0398942291967924	5	1
PCMTD1	down	0.8	0.0406520689664206	0.0406520689664206	5	2
EHF	down	0.8	0.040658922364246	0.040658922364246	5	1
KIAA1551	down	0.8	0.040658922364246	0.040658922364246	5	1
NMT2	down	0.8	0.040658922364246	0.040658922364246	5	1
MCF2L	down	0.8	0.0414235212153768	0.0414235212153768	4	1
STAM2	down	0.8	0.0414235212153768	0.0414235212153768	5	1
NEU1	down	0.8	0.0421880257589097	0.0421880257589097	5	1
PLK1	down	0.8	0.0421880257589097	0.0421880257589097	5	1
MED13L	down	0.8	0.0429524360035691	0.0429524360035691	5	1
SULF2	down	0.8	0.0429524360035691	0.0429524360035691	5	1
ZC2HC1A	down	0.8	0.0432530726249574	0.0432530726249574	5	2
HMGA1	down	0.8	0.0437167519580788	0.0437167519580788	5	1
KREMEN1	down	0.8	0.0437167519580788	0.0437167519580788	5	1
ACPP	down	0.8	0.044480973631162	0.044480973631162	4	1
GALM	down	0.8	0.044480973631162	0.044480973631162	5	1
SLC47A1	down	0.8	0.044480973631162	0.044480973631162	5	1
CXCL1	down	0.8	0.0452451010315417	0.0452451010315417	4	1
ATP2A3	down	0.8	0.0460091341679399	0.0460091341679399	5	1
EVC	down	0.8	0.0460091341679399	0.0460091341679399	5	1
NTSR1	down	0.8	0.0460091341679399	0.0460091341679399	4	1
ASPM	down	0.8	0.0467730730490784	0.0467730730490784	5	1
LBH	down	0.8	0.0467730730490784	0.0467730730490784	5	1
CLMP	down	0.8	0.0475369176836783	0.0475369176836783	5	1
VSTM4	down	0.8	0.0475369176836783	0.0475369176836783	5	1
ANP32E	down	0.8	0.0483006680804603	0.0483006680804603	5	1
IER3	down	0.8	0.0483006680804603	0.0483006680804603	5	1
TMEM171	down	0.8	0.0483006680804603	0.0483006680804603	5	1
AFAP1-AS1	down	0.8	0.0490643242481443	0.0490643242481443	4	1
CLSTN2	down	0.8	0.0490643242481443	0.0490643242481443	5	1
ITPR3	down	0.8	0.0490643242481443	0.0490643242481443	5	1
TMEM158	down	0.8	0.0490643242481443	0.0490643242481443	5	1
P4HA3	up	1	1.46170451304162e-08	1.46170451304162e-08	5	5
TRNP1	up	1	1.16813010255972e-07	1.16813010255972e-07	5	4
CRYAB	up	1	2.16628641461185e-07	2.16628641461185e-07	5	4
TSC22D3	up	1	5.46881457435551e-07	5.46881457435551e-07	5	4
CORIN	up	1	1.18437922448231e-06	1.18437922448231e-06	5	2
PLAT	up	1	1.1977623990251e-06	1.1977623990251e-06	5	4
ANGPTL4	up	1	1.5002375377968e-06	1.5002375377968e-06	5	4
DUSP1	up	1	2.62782741064504e-06	2.62782741064504e-06	5	4
CFH	up	1	3.26005272474557e-06	3.26005272474557e-06	5	3
NT5DC3	up	1	5.7339874455683e-06	5.7339874455683e-06	5	4
RGCC	up	1	5.99412189601691e-06	5.99412189601691e-06	5	4
PLXDC2	up	1	7.11168960753529e-06	7.11168960753529e-06	5	3
ANKRD1	up	1	7.4938319392838e-06	7.4938319392838e-06	4	3
C5AR2	up	1	8.86579290043111e-06	8.86579290043111e-06	5	3
PER1	up	1	1.19134015608918e-05	1.19134015608918e-05	5	3
