signature	direction	gene
RRA744_pan_dental	down	PFKFB3
RRA744_pan_dental	down	SLC2A1
RRA744_pan_dental	down	CLASP2
RRA744_pan_dental	down	GAS1
RRA744_pan_dental	down	HERC3
RRA744_pan_dental	down	ID1
RRA744_pan_dental	down	KIAA1033
RRA744_pan_dental	down	EPHA5
RRA744_pan_dental	down	TFPI2
RRA744_pan_dental	down	DPP4
RRA744_pan_dental	down	NEDD4
RRA744_pan_dental	down	SOD3
RRA744_pan_dental	down	FBLN2
RRA744_pan_dental	down	ID3
RRA744_pan_dental	down	PYGO1
RRA744_pan_dental	down	TRIM33
RRA744_pan_dental	down	PLA2G4A
RRA744_pan_dental	down	TRIM16L
RRA744_pan_dental	down	COL12A1
RRA744_pan_dental	down	KAT6A
RRA744_pan_dental	down	KCNJ2
RRA744_pan_dental	down	LTK
RRA744_pan_dental	down	MYO1B
RRA744_pan_dental	down	MYO5A
RRA744_pan_dental	down	CEP170
RRA744_pan_dental	down	FST
RRA744_pan_dental	down	SSC5D
RRA744_pan_dental	down	IFI30
RRA744_pan_dental	down	PTGIS
RRA744_pan_dental	down	IGFBP3
RRA744_pan_dental	down	LYPD6B
RRA744_pan_dental	down	GALNT3
RRA744_pan_dental	down	CACNA2D3
RRA744_pan_dental	down	HPCAL1
RRA744_pan_dental	down	PTGFR
RRA744_pan_dental	down	SLIT2
RRA744_pan_dental	down	UHMK1
RRA744_pan_dental	down	FRYL
RRA744_pan_dental	down	CEP350
RRA744_pan_dental	down	HSPA12A
RRA744_pan_dental	down	KYNU
RRA744_pan_dental	down	IFI27
RRA744_pan_dental	down	GFRA1
RRA744_pan_dental	down	DPYD
RRA744_pan_dental	down	MMP3
RRA744_pan_dental	down	MYO1D
RRA744_pan_dental	down	OSBP2
RRA744_pan_dental	down	AMIGO2
RRA744_pan_dental	down	HEPH
RRA744_pan_dental	down	HIP1
RRA744_pan_dental	down	KIF20A
RRA744_pan_dental	down	DNAJB14
RRA744_pan_dental	down	PBX1
RRA744_pan_dental	down	RASA1
RRA744_pan_dental	down	ITIH5
RRA744_pan_dental	down	MARVELD3
RRA744_pan_dental	down	SERTAD2
RRA744_pan_dental	down	ANKRD50
RRA744_pan_dental	down	EPHB2
RRA744_pan_dental	down	IL6ST
RRA744_pan_dental	down	SYNPO
RRA744_pan_dental	down	PARP14
RRA744_pan_dental	down	NQO1
RRA744_pan_dental	down	AHRR
RRA744_pan_dental	down	DAAM2
RRA744_pan_dental	down	DDIT3
RRA744_pan_dental	down	PLEKHG4
RRA744_pan_dental	down	ANKRD12
RRA744_pan_dental	down	C10orf12
RRA744_pan_dental	down	COL27A1
RRA744_pan_dental	down	NPC1
RRA744_pan_dental	down	SAPCD2
RRA744_pan_dental	down	UACA
RRA744_pan_dental	down	PTPN13
RRA744_pan_dental	down	PLXNC1
RRA744_pan_dental	down	CRIM1
RRA744_pan_dental	down	DLL1
RRA744_pan_dental	down	RBM41
RRA744_pan_dental	down	TM4SF1
RRA744_pan_dental	down	ANPEP
RRA744_pan_dental	down	SYNRG
RRA744_pan_dental	down	NCOA2
RRA744_pan_dental	down	CEPT1
RRA744_pan_dental	down	POSTN
RRA744_pan_dental	down	TRAM2
RRA744_pan_dental	down	AHCTF1
RRA744_pan_dental	down	CDH6
RRA744_pan_dental	down	COL6A1
RRA744_pan_dental	down	CENPF
RRA744_pan_dental	down	FBN1
RRA744_pan_dental	down	LTBP1
RRA744_pan_dental	down	LTBP4
RRA744_pan_dental	down	PIKFYVE
RRA744_pan_dental	down	SOCS2
RRA744_pan_dental	down	KRTAP1-1
RRA744_pan_dental	down	PKD1P1
RRA744_pan_dental	down	SLC24A3
RRA744_pan_dental	down	ATP2B4
RRA744_pan_dental	down	MEGF6
RRA744_pan_dental	down	TMEM106B
RRA744_pan_dental	down	MTSS1L
RRA744_pan_dental	down	EFNB2
RRA744_pan_dental	down	IKZF5
RRA744_pan_dental	down	PTTG1
RRA744_pan_dental	down	CEP135
RRA744_pan_dental	down	SLC4A4
RRA744_pan_dental	down	TMEM119
RRA744_pan_dental	down	ENAH
RRA744_pan_dental	down	RP11-173B14.5
RRA744_pan_dental	down	MIR146A
RRA744_pan_dental	down	SAMD5
RRA744_pan_dental	down	FLG
RRA744_pan_dental	down	KIAA1430
RRA744_pan_dental	down	ADRA2A
RRA744_pan_dental	down	HSPG2
RRA744_pan_dental	down	OSBPL8
RRA744_pan_dental	down	PTCHD4
RRA744_pan_dental	down	SYTL2
RRA744_pan_dental	down	TP53I11
RRA744_pan_dental	down	FTO
RRA744_pan_dental	down	CACHD1
RRA744_pan_dental	down	LINC01085
RRA744_pan_dental	down	CALB2
RRA744_pan_dental	down	TSPAN9
RRA744_pan_dental	down	DNASE1L1
RRA744_pan_dental	down	RBPJ
RRA744_pan_dental	down	LPHN2
RRA744_pan_dental	down	CDC42EP2
RRA744_pan_dental	down	DOK5
RRA744_pan_dental	down	SEMA3F
RRA744_pan_dental	down	BDNF-AS
RRA744_pan_dental	down	COL6A2
RRA744_pan_dental	down	ZKSCAN8
RRA744_pan_dental	down	HIPK3
RRA744_pan_dental	down	LINC00856
RRA744_pan_dental	down	NBL1
RRA744_pan_dental	down	FOXF2
RRA744_pan_dental	down	SUN1
RRA744_pan_dental	down	EGR1
RRA744_pan_dental	down	NAPEPLD
RRA744_pan_dental	down	ZSCAN31
RRA744_pan_dental	down	IKZF2
RRA744_pan_dental	down	LTBP2
RRA744_pan_dental	down	ATM
RRA744_pan_dental	down	NOV
RRA744_pan_dental	down	FAM64A
RRA744_pan_dental	down	WDFY3-AS2
RRA744_pan_dental	down	PCMTD1
RRA744_pan_dental	down	EHF
RRA744_pan_dental	down	KIAA1551
RRA744_pan_dental	down	NMT2
RRA744_pan_dental	down	MCF2L
RRA744_pan_dental	down	STAM2
RRA744_pan_dental	down	NEU1
RRA744_pan_dental	down	PLK1
RRA744_pan_dental	down	MED13L
RRA744_pan_dental	down	SULF2
RRA744_pan_dental	down	ZC2HC1A
RRA744_pan_dental	down	HMGA1
RRA744_pan_dental	down	KREMEN1
RRA744_pan_dental	down	ACPP
RRA744_pan_dental	down	GALM
RRA744_pan_dental	down	SLC47A1
RRA744_pan_dental	down	CXCL1
RRA744_pan_dental	down	ATP2A3
RRA744_pan_dental	down	EVC
RRA744_pan_dental	down	NTSR1
RRA744_pan_dental	down	ASPM
RRA744_pan_dental	down	LBH
RRA744_pan_dental	down	CLMP
RRA744_pan_dental	down	VSTM4
RRA744_pan_dental	down	ANP32E
RRA744_pan_dental	down	IER3
RRA744_pan_dental	down	TMEM171
RRA744_pan_dental	down	AFAP1-AS1
